"","order_date","ship_date","ship_mode","customer_name","segment","country","city","state","postal_code","region","category","sub_category","product_name","sales","quantity","discount","profit","profit_ratio","days_to_ship","revenue"
"1",2016-11-08,2016-11-11,"Second Class","Claire Gute","Consumer","United States","Henderson","Kentucky",42420,"south","furniture","bookcases","Bush Somerset Collection Bookcase",261.96,2,0,41.9136,16,3,261.96
"2",2016-11-08,2016-11-11,"Second Class","Claire Gute","Consumer","United States","Henderson","Kentucky",42420,"south","furniture","chairs","Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0,219.582,30,3,731.94
"3",2016-06-12,2016-06-16,"Second Class","Darrin Van Huff","Corporate","United States","Los Angeles","California",90036,"west","office supplies","labels","Self-Adhesive Address Labels for Typewriters by Universal",14.62,2,0,6.8714,47,4,14.62
"4",2015-10-11,2015-10-18,"Standard Class","Sean O'Donnell","Consumer","United States","Fort Lauderdale","Florida",33311,"south","furniture","tables","Bretford CR4500 Series Slim Rectangular Table",957.5775,5,0.45,-383.031,-40,7,526.667625
"5",2015-10-11,2015-10-18,"Standard Class","Sean O'Donnell","Consumer","United States","Fort Lauderdale","Florida",33311,"south","office supplies","storage","Eldon Fold 'N Roll Cart System",22.368,2,0.2,2.5164,11,7,17.8944
"6",2014-06-09,2014-06-14,"Standard Class","Brosina Hoffman","Consumer","United States","Los Angeles","California",90032,"west","furniture","furnishings","Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0,14.1694,29,5,48.86
"7",2014-06-09,2014-06-14,"Standard Class","Brosina Hoffman","Consumer","United States","Los Angeles","California",90032,"west","office supplies","art","Newell 322",7.28,4,0,1.9656,27,5,7.28
"8",2014-06-09,2014-06-14,"Standard Class","Brosina Hoffman","Consumer","United States","Los Angeles","California",90032,"west","technology","phones","Mitel 5320 IP Phone VoIP phone",907.152,6,0.2,90.7152,10,5,725.7216
"9",2014-06-09,2014-06-14,"Standard Class","Brosina Hoffman","Consumer","United States","Los Angeles","California",90032,"west","office supplies","binders","DXL Angle-View Binders with Locking Rings by Samsill",18.504,3,0.2,5.7825,31,5,14.8032
"10",2014-06-09,2014-06-14,"Standard Class","Brosina Hoffman","Consumer","United States","Los Angeles","California",90032,"west","office supplies","appliances","Belkin F5C206VTEL 6 Outlet Surge",114.9,5,0,34.47,30,5,114.9
"11",2014-06-09,2014-06-14,"Standard Class","Brosina Hoffman","Consumer","United States","Los Angeles","California",90032,"west","furniture","tables","Chromcraft Rectangular Conference Tables",1706.184,9,0.2,85.3092,5,5,1364.9472
"12",2014-06-09,2014-06-14,"Standard Class","Brosina Hoffman","Consumer","United States","Los Angeles","California",90032,"west","technology","phones","Konftel 250 Conference phone - Charcoal black",911.424,4,0.2,68.3568,8,5,729.1392
"13",2017-04-15,2017-04-20,"Standard Class","Andrew Allen","Consumer","United States","Concord","North Carolina",28027,"south","office supplies","paper","Xerox 1967",15.552,3,0.2,5.4432,35,5,12.4416
